check,1253
doesn't,1247
three,1246
meet,1246
|,1245
soon,1233
save,1233
star,1233
hate,1228
talking,1226
comin',1222
doin',1221
word,1215
moon,1211
sorry,1190
holding,1189
being,1189
above,1185
tomorrow,1181
talkin',1179
nights,1177
daddy,1174
u,1167
lies,1166
apart,1163
tryin',1160
both,1159
car,1158
started,1151
dancing,1147
anymore,1145
says,1133
walking,1130
bed,1129
truth,1129
throw,1128
met,1126
drive,1116
pull,1115
ohh,1108
ground,1107
blow,1104
water,1102
drop,1102
pay,1097
full,1096
felt,1094
born,1093
yet.,1093
its,1092
catch,1091
control,1086
jump,1086
promise,1085
sit,1083
seem,1076
standing,1067
de,1067
ring,1065
afraid,1064
turned,1059
angel,1058
guy,1057
keeps,1048
livin',1048
straight,1047
somewhere,1047
ho,1043
child,1030
magic,1023
nice,1015
drink,1013
number,1012
yours,1000
hearts,999
pop,998
river,997
spend,995
needs,995
use,993
somethin',993
an',993
learn,990
eye,988
mmm,988
treat,986
between,983
share,983
saying,978
whatever,972
caught,965
okay,964
follow,963
rest,961
tired,960
four,959
phone,957
front,955
hang,955
wasn't,944
yea,943
minute,943
thank,942
worry,941
2,929
woah,928
warm,927
woo,925
gold,924
sunshine,921
bet,920
meant,917
club,916
mad,915
looks,914
send,908
crying,904
belong,903
blame,901
someday,901
near,901
burning,901
gimme,901
everyone,897
swear,897
i'ma,887
higher,884
runnin',878
ma,875
closer,873
reach,868
called,867
half,865
sea,864
past,863
perfect,861
dead,860
power,853
thinkin',851
burn,849
calling,849
five,848
&,844
ooo,842
sugar,841
bright,840
radio,837
looked,834
pray,833
walked,832
broke,827
men,824
fell,823
buy,822
sexy,821
most,820
brother,818
playing,818
win,817
wall,816
she'll,814
e,814
'round,812
wit,811
you.,809
glad,808
grow,806
c'mon,806
worth,802
giving,801
known,799
upon,799
miscellaneous,799
tear,799
different,796
trust,793
telling,792
outside,791
funky,791
oo,790
wear,787
di,787
ice,786
...,782
streets,781
taking,781
shot,780
everyday,779
pass,779
boogie,778
voice,777
singing,775
across,773
everywhere,772
window,771
hello,770
kids,768
breath,766
blind,765
push,764
leaving,764
special,761
story,756
trouble,756
wine,756
knees,755
clear,753
son,753
kinda,753
land,751
moving,750
mother,748
king,748
cut,747
funny,747
t,747
me.,745
act,744
sight,743
dirty,741
pick,741
isn't,740
country,740
shoes,739
finally,737
children,737
kick,737
dog,734
shame,733
dear,731
ay,731
million,729
school,728
second,727
yet,727
doubt,727
laugh,724
here's,720
read,720
count,716
fade,716
breathe,715
kill,711
train,711
everybody's,711
peace,709
loud,708
smoke,708
watching,706
lovers,697
somehow,697
lucky,693
joy,692
heat,690
que,689
bop,688
sign,688
anyone,687
fear,685
earth,684
darlin',682
knock,680
year,679
taste,678
bitches,678
b,672
gun,670
ways,669
dreaming,667
nowhere,665
style,665
clothes,662
already,662
means,661
eat,660
changed,658
middle,658
rhythm,657
y,657
lead,655
makin',655
yesterday,654
sex,654
band,652
green,650
carry,649
picture,647
cried,646
losing,645
empty,645
wide,643
pride,638
ahead,637
almost,637
great,636
hoo,635
happen,633
ten,631
fill,627
scared,627
needed,627
bom,624
love's,623
mountain,622
faith,621
miles,617
repeat,617
breaking,616
hurts,616
whenever,616
dum,616
rather,614
memories,612
single,612
stone,612
eh,611
clap,611
answer,610
queen,609
walkin',609
blood,608
i’m,608
nah,607
feelings,605
speak,604
corner,604
movin',603
hundred,601
midnight,601
ball,600
working,600
six,596
thousand,593
mess,592
gang,591
blues,591
lives,589
mouth,585
dancin',585
hoes,584
flow,584
paradise,584
turning,583
sayin',580
ladies,577
war,576
realize,576
tryna,575
waste,574
brand,572
waitin',570
beside,569
we'd,569
diamonds,569
4,567
missing,562
anyway,562
women,560
strange,560
d,559
played,558
skin,558
poor,556
memory,555
held,555
outta,553
cryin',547
groove,545
learned,544
write,544
rich,544
piece,542
dem,542
bout,542
less,541
hour,540
longer,539
bird,539
week,537
bang,537
secret,535
sittin',535
shout,534
freak,532
few,531
shut,530
bag,528
songs,528
'cuz,528
york,528
cannot,527
crowd,527
kissed,524
g,524
desire,523
happiness,522
family,521
stronger,521
freedom,521
em,520
small,519
loose,518
mornin',516
"""i",516
cuz,515
<br,515
oooh,513
sunday,513
west,513
they'll,512
proud,512
clean,510
mirror,508
5,508
double,508
mi,507
1,506
ago,506
m,505
games,505
later,505
welcome,504
dress,504
having,504
wonderful,504
future,502
kisses,501
dat,501
none,501
rockin',501
hip,501
ones,500
stuck,500
tender,500
bar,499
asked,499
supposed,498
it'll,498
wings,498
happened,495
diamond,495
fallin',494
turns,492
he'll,489
playin',489
stuff,489
shoot,488
pretend,488
whip,488
funk,488
against,485
scream,485
sitting,485
rush,484
starts,484
l,484
shining,483
ran,483
kid,480
block,479
nine,479
key,478
3,478
im,478
[chorus],478
sick,477
kept,477
romance,477
moonlight,476
slip,474
brown,474
lying,473
mercy,473
takin',472
simple,472
.,472
[verse,471
explain,470
lean,469
fat,469
stick,466
dawn,464
hood,464
weak,462
rollin',462
track,461
wife,461
slowly,460
chain,460
driving,459
devil,459
saturday,458
niggaz,458
haven't,457
survive,456
cross,456
father,456
brought,454
dig,454
guys,453
candy,450
early,450
letter,449
twice,449
bounce,449
rise,448
prayer,448
bought,447
raise,445
walls,444
anywhere,444
park,444
quite,443
tellin',443
dry,443
givin',442
hallelujah,442
[repeat,442
begin,439
ahh,439
plan,438
deal,438
hurry,438
tough,437
heavy,436
anybody,435
news,434
seven,433
steal,433
chick,432
dollar,431
dit,431
thrill,430
message,429
snow,429
christmas,429
shy,429
friday,428
which,427
glass,426
tree,425
n,425
yellow,425
twist,424
price,423
sounds,423
shawty,423
cars,423
point,423
scene,423
papa,423
hanging,422
ends,422
s,422
p,421
swing,420
bay,419
fuckin',418
drunk,416
te,416
build,413
bottom,412
shorty,412
soft,411
bow,411
space,410
cha,410
cash,409
probably,408
guitar,408
edge,408
business,407
wherever,407
stupid,407
satisfied,407
chorus:,407
places,406
lovely,405
til,404
folks,404
there'll,404
stranger,403
choose,403
jeans,402
knowing,402
life's,402
angels,402
rolling,401
tu,401
burnin',401
dont,401
cup,400
sister,400
hmm,400
mistake,400
given,399
jack,399
american,398
died,397
clouds,397
grab,395
paper,395
sense,394
safe,394
darkness,394
um,394
ocean,393
slide,393
motion,391
somebody's,391
case,389
dying,388
pussy,388
job,388
truck,388
favorite,387
spent,387
bottle,387
couple,386
flip,386
lets,386
sleeping,385
riding,385
instead,384
prove,383
short,382
everything's,382
precious,382
passion,382
type,382
workin',382
lift,381
teach,381
gives,381
mary,381
wow,381
rap,381
seat,380
grown,380
hop,380
dumb,380
momma,379
cat,379
insane,379
ease,377
singin',377
harder,376
weekend,376
death,375
taken,375
pieces,374
hours,373
moves,373
dust,371
breakin',371
quit,370
lo,370
silly,369
within,368
flame,368
girlfriend,368
searching,368
wheel,368
wet,367
thoughts,367
heart's,367
sweat,366
beg,366
sent,366
hangin',366
forgive,366
leaves,366
fact,365
storm,365
johnny,365
become,364
sand,363
fix,363
golden,362
man's,362
chorus],361
mighty,361
wrote,360
john,360
heartache,360
fresh,359
deny,358
lil',358
suddenly,357
shadows,356
luck,355
filled,354
whisper,353
return,353
fucking,353
ghetto,353
she'd,352
tall,352
brain,351
should've,351
spot,350
shirt,350
thang,350
climb,350
faces,349
rough,348
fantasy,348
highway,348
waited,348
bone,348
joe,348
cover,347
